題號,題目,選項A,選項B,選項C,選項D,答案
332,根據環境教育法第四條，下列選項中哪些是環境教育之對象?,全體國民,政府機關,學校,以上皆是,D
333,太魯閣國家公園因海拔落差大，且受下列哪種因素影響，形成明顯垂直的溫差和氣候變化？,東北季風,雨水豐沛,地質構造特殊,冬季降雪,A
334,為因應溫室效應對地球的危害，各國皆著手研擬各種不同類型之減緩策略，以下哪些「不是」臺灣的減緩策略？,發展火力發電技術,節約能源、提高能源效率,開發新興與再生能源,發展溫室氣體減量技術,A
335,下列何者是酸雨帶來的危害？,全球暖化,輻射污染,礦產消失,土壤酸化,D
336,「海砂屋」是因為建築房屋時使用的海砂中含有什麼離子造成混凝土病變？,氯離子,鈉離子,鈣離子,鎂離子,A
337,有關酸雨的敘述，下列敘述哪個選項是正確的？,大氣中的二氧化碳溶解於雨水中所致,酸雨對動物危害比較大，對植物沒有影響,大氣中硫氧化物溶解於雨水中會造成酸雨,主要為工廠排放的廢氣與汽車廢氣無關,C
338,下列何者的蒸發作用是形成雨水最主要的來源？,海洋,河川,湖泊,冰山,A
339,餐飲業者達成幾項「十大惜食行動」即可成為惜食推廣種子店家？,一項,三項,五項,十項,B
340,下列何者是造成臺灣西部沿海地層嚴重下陷的原因？,地殼板塊運動,火山活動,超抽地下水,地震,C
341,下列何者「不是」河川水質監測項目之一？,水溫,酸鹼值,總三鹵甲烷,硝酸鹽氮,C
342,《京都議定書》中規範下列何種溫室氣體？,二氧化碳(CO2),氧氣(O2),一氧化碳(CO),臭氧(O3),A
343,下列有關鉛的生物偵測的敘述何者「錯誤」？,有機鉛化合物的吸收，主要是由皮膚吸收,循環中的鉛，90%會與紅血球結合,90%的鉛會最後儲存於骨骼,有機鉛的暴露，最好的偵測指標則是血中鉛濃度,D
344,一般家庭由自來水公司配送之水資源，應再經何種淨水程序方可飲用？,可直接飲用,取水於容器中靜置一段時間,經煮沸後可飲用,不可使用於飲食上,C
345,為推動全民食農教育，強化飲食、環境與農業之連結，特制定「食農教育法」。請問其推動方針不包含下列何者?,支持認同在地農業,地產地消永續農業,傳承與創新飲食文化,加入WTO提倡公平貿易,D
346,下列何種組合屬於「海洋能」發電？,潮汐發電、溫差發電,溫差發電、汽電共生發電,洋流發電、燃煤發電,潮汐發電、燃氣發電,A
347,我國第一座海洋國家公園，其珊瑚礁屬於特殊珍貴自然景觀？,澎湖南方四島國家公園,金門國家公園,東沙環礁國家公園,墾丁國家公園,C
348,全球可劃分為熱帶、溫帶、寒帶三個氣候帶。劃分此三個氣候帶的指標為哪兩條緯線？,本初經線、赤道,赤道、回歸線,回歸線、極圈,國際換日線、赤道,C
349,日常耗能以空調與照明用電佔最大比例。一般而言，哪一種燈具的耗電量最高？,鎢絲燈泡,日光燈,LED燈,省電燈泡,A
350,有關空氣污染的敘述，下列何者「錯誤」？,一氧化碳可能造成人體中毒現象,二氧化氮是造成雨水酸化的原因之一,臭氧只對植物有害，對人類沒影響,二氧化硫是造成雨水酸化的原因之一,C
351,公害造成損害時，「程度鑑定」主要為了確認下列何者？,何種污染物造成損害,造成損害之污染來源,評估危害程度,以上皆是,C
352,民國75年高雄縣二仁溪口發生養殖牡蠣因受到水污染而變綠死亡，試問導致綠牡蠣事件的原因是下列哪個選項？,水中藻類大量繁殖,水中有機物質濃度過高,水中含有毒的重金屬,水中溶氧量過高,C
353,有關潮間帶的敘述，下列哪個選項是「錯誤」的？,位於滿乾潮之間的地帶,提供人們養殖、遊憩與觀光的主要場所,生物能適應短暫缺水及陽光曝晒,此地生態系的生產力，與其它生態系相較，生產力偏低,D
354,下列哪個地區可以發現具有肥厚的脂肪層、能生存在低溫環境中的動物？,草原,熱帶雨林,濱海沼澤,極地,D
355,下列哪一項是常見的環境荷爾蒙？,硼酸,氯化鈉,硫酸,DDT,D
356,請問下列選項何者為壽山的舊稱？,打狗山,打猴山,打鳥山,打貓山,A
357,有關大氣中臭氧分布的敘述，下列哪個選項是正確的？,臭氧大部分存在離地面10至50公里的範圍內,大氣中90%的臭氧分布在由地面起至25公里高空的範圍內,離地面25至50公里的高空，臭氧的分布隨高度的增加而增加,離地面10至50公里的範圍內，臭氧的分布隨高度的增加而降低,A
358,天氣現象千變萬化，天氣預報更是一件勞心勞力的工作。有關天氣預報的敘述，下列何者是正確的？,天氣預報僅需參考地面、高空和衛星等觀測資料,紫外線強度並不包含在預報項目內,將觀測資料輸入電腦，即可得到準確的預報資料,影響天氣變化的因素很複雜增加預報工作的困難度,D
359,下列何者屬於可以回收的電池？,碳鋅電池,鎳鎘電池,鋰電池,以上皆是,D
360,想要一睹閩南文化、僑鄉文化、戰地文化等不同時代的特質，可在下列哪一個國家公園體驗？,東沙環礁國家公園,澎湖南方四島國家公園,金門國家公園,台江國家公園,C
361,潮間帶常有許多的螺類，試問下列何者可食用？,花冠芋螺,漁舟蜑螺,斑芋螺,織錦芋螺,B
362,下列哪一項「不是」臺灣地層下陷的主因？,地層的變化運動,軟弱沖積層的自然壓實,超抽地下水,農地過度開墾,D
363,河川魚群暴斃的主要原因大多為水中溶氧不足，在下列何時段最容易發生魚群暴斃事件？,清晨,中午,傍晚,半夜,A
364,黑面琵鷺是世界上非常稀少的鳥種，被列為瀕臨滅絕動物保護，每年9月至10月抵臺，一直待到翌年的3月至5月左右，才陸續飛離臺灣。請問黑面琵鷺主要分布在哪一個地區？,東歐,西亞,東亞,南美洲,C
365,幾十年前曾有人引進小花蔓澤蘭來綠化環境，今日這種植物已經在臺灣部份地區造成許多原生植物死亡，甚至危害農作物，因此有綠色癌症之稱，關於此現象，下列哪個選項是正確的敘述？,這是天擇的結果，應讓其自然演化,不當引入外來生物，可能破壞原本的生態平衡,應多引入外來種昆蟲，以控制此植物的繁衍,外來種植物可增加本地的生物多樣性,B
366,下列何項對環境賀爾蒙的敘述為錯誤的？,可能存在於塑膠製品中,環境賀爾蒙為疏油性,可能導致孩童性早熟,環境賀爾蒙結構與人體雌激素相似,B
367,下列何者為溫室氣體甲烷主要來源之一？,燃燒化石燃料,汽車冷氣的主要冷媒,燃燒木材,家畜腸道發酵作用,D
368,下列對於土壤肥沃的描述何者正確？,土壤很紅,土壤很鬆,提供作物生產需求養份,土壤屬中性，不酸也不鹼,C
369,垃圾源頭減量最有效的方法為？,做好垃圾分類，資源回收,多使用塑膠製品,建造焚化爐，減少垃圾體積,惜物惜福，減少垃圾的產生,D
370,關於壽山國家自然公園，以下敘述何者正確？,太魯閣族人可能曾在此生活,噶瑪蘭族人可能曾在這此生活,馬卡道族人可能曾在這生活,凱達格蘭族人可能曾在此生活,C
371,"今年1月6日至8日舉行的「2023黑面琵鷺全球同步普查」記錄到全球共有6,603隻度冬的黑面琵鷺，請問台灣共記錄到幾隻？",1228,2228,4228,6228,C
372,在生物鏈越上端的物種其體內累積持久性有機污染物(POPs)濃度將越高，危害性也將越大，這是說明POPs具有下列何種特性？,持久性,半揮發性,高毒性,生物累積性,D
373,全球溫度上升會使下列何種現象變得更加嚴重？,酸雨現象,聖嬰現象,日蝕現象,地震頻繁現象,B
374,為了防範「登革熱疫情」，做以下何者行為來有效防範「登革熱疫情」？,去除家中及周遭環境的積水,多種植植物,把門打開通風,噴大量的芳香劑,A
375,羅漢門迎佛祖「主神三轎」，若就其角色而言，可分為『』為一號轎，『』為二號轎，『』則為三號轎，參與神尊各有不同的歷史背景與任務功能。請問三轎主神依序為？,土地公轎、佛祖轎、陪香轎,土地公轎、陪香轎、佛祖轎,佛祖轎、土地公轎、陪香轎,佛祖轎、陪香轎、土地公轎,B
376,我們挑選冷氣時應該重視下列何種指標對環境才是更友善的？,HP值,EER值,A值,COD值,B
377,近年來，臺灣大量使用地下水的結果，部分地區開始出現下列哪些現象？(A)優養化；(B)地層下陷；(C)土壤鹽化；(D)湖泊污染；(E)地下水鹹化。,ABC,BCE,BCD,CDE,B
378,宜蘭縣政府發放廚餘回收桶給家戶，避免將廚餘混入一般垃圾送入焚化爐燃燒，廚餘不適合燃燒的原因下列何者正確？,廚餘含有大量水分，會降低焚化爐的焚燒溫度,廚餘進入焚化爐燃燒，會導致戴奧辛的產生,廚餘鹽份太高，也容易傷害爐體,以上皆是,D
379,在勞動時大量出汗，鹽份亦會同時損耗，若只補充水份容易引起肌肉抽搐疼痛。此為何種熱危害症狀？,熱中暑,熱痙攣,熱衰竭,心臟衰竭,B
380,有關生物多樣性的觀念，下列哪個選項是「錯誤」的？,引進世界各地區之不同種生物，以增加臺灣的生物多樣性,生物多樣性有利於維持生態系的平衡,生物多樣性有助於自然界物質及能量的流動,與人類較無直接相關的生物種類，也應該加以保留,A
381,為了防治秋行軍蟲，農委會訂定了通緝四步驟，不包括以下何者？,巡察,辨識,通報,用藥,D
382,位於熱帶地區的達悟族如何降低酷暑時住家之高溫？,部落建坡地上享受季節性涼風,儲存冬季積雪，夏日取出降溫,居家四週灑水，降低環境溫度,屋頂開立天窗，增加空氣對流,A
383,下列何者是臺灣主要面臨的環境問題之一？,垃圾量逐年減少,輻射外洩,空氣污染嚴重,降雨日增加,C
384,臺灣山坡地質條件不佳，因此經常發生坡地災害。下列關於地層滑動的敘述，何者正確？,地層滑動通常出現在盆地或平地,其運動速率非常快速,當地層滑動過後，此地將不會再出現滑動的可能,產生原因多為豪雨及地質構造運動等天然因素,D
385,下列何項環境賀爾蒙化學物質在應用上配對錯誤？,雙酚A→塑化劑,壬基酚→工業清潔劑,五氯酚→農藥,全氟化合物→阻燃劑,D
386,下列何種現象是造成森林自燃的主要原因？,因為颳風下雨，使樹木不斷摩擦產生,因季節性氣候乾燥，容易產生高溫環境,因土石崩落，造成火災,因人為疏忽造成火災,B
387,新北市蘆洲2021年虐貓「茶茶事件」。當時一名黎姓男子因與女友吵架，竟用熱水將二人共同飼養的貓咪「茶茶」凌虐致死，新北地院依違反下列何者法規處以罰鍰？,《環境教育法》,《動物保護法》,《廢棄物清理法》,《水污染防治法》,B
388,地球平均氣溫愈來愈高，一般認為的主因為下列何者？,火山活動增加,人為二氧化碳的排放量增加,太陽輻射,空氣中帶有硫酸及硝酸成分,B
389,造成土石流的原因有自然跟人為二種因素，為避免人為因素造成土石流，下列何者是我們可以做的？,開墾山坡地，改種茶葉、檳榔樹等經濟作物,將不要的工程廢土填置在山坡地,多在山上開路採礦,在山坡地多種植抓地力強的樹種,D
390,「這種氣體在溫室氣體中，雖然吸收長波輻射能量的能力最低，但是它卻占了溫室氣體總量的大部分，而對溫室效應造成最大的影響。」，上述氣體最可能為下列何者？,甲烷,二氧化碳,全氟化碳,六氟化硫,B
391,鵝鑾鼻公園裡，什麼地方是蝴蝶們絕佳的避風港，可以阻擋落山風？,燈塔,矮灌木,棕櫚樹,珊瑚礁岩,D
392,下列何者為評估水體品質常用之生物指標？,青黴菌,大腸桿菌群,藍綠菌,肉毒桿菌,B
393,由板塊擠壓而成的臺灣，地殻活動仍持續進行。下列有關敘述何者是「錯誤」的？,嘉南平原的沉積物有部分來自中央山脈,陸地上升會加速侵蝕作用的進行,數百萬年後，臺灣可能被侵蝕成平坦的地形，高山將消失,板塊擠壓使斷層活動頻繁,C
394,環境部修正「免洗餐具限制使用對象及實施方式」公告，自112年何時起，8類限制使用對象不得提供生物可分解塑膠製成之免洗餐具？,7月1日,8月1日,9月1日,10月1日,B
395,想要在墾丁國家公園觀賞最壯觀的猛禽遷徙景觀最好的季節是？,春天,夏天,秋天,冬天,C
396,民眾在丟垃圾時，應依政府規定將垃圾分為幾類？,五大類,四大類,三大類,兩大類,C
397,下列何者是土石流的特徵？,表面流速慢，下面流速快,表面流速快，下面流速慢,泥沙濃度低,衝擊力不大,B
398,用自來水養魚，為什麼容易造成魚兒死亡？,自來水中沒有氧氣,自來水中沒有養分,自來水中含有餘氯,自來水中含有臭氧,C
399,下列何者是從源頭減少土壤污染的方法？,改善工業製程，降低製程污染排放,把污染的土壤移到別的地方,針對可能污染的土壤進行土壤檢測,把有污染的區域劃定為污染管制區,A
400,環境部於111年1月1日起推動「廢車回收一站通」服務，請問下列選項中何者對於此服務的描述錯誤？,報廢車輛可以不用至監理站辦理,回收獎勵金直接匯入戶頭,完成報廢車籍，且汽車車齡達5年以上者，可申請回收獎勵金,車牌可交由回收商代為繳回,C
401,以下哪一項國際協議為全球共同面對氣候變遷與減碳的行動框架？,巴塞爾公約,巴黎協定,斯德哥爾摩公約,蒙特婁議定書,B
402,根據《文化資產保存法》，下列何者敘述錯誤？,毀損或移走古蹟，可能判刑並罰錢。,文化資產若損壞，要回復原狀，若無法回復則賠償損害。,國寶或重要古物要出國，需先申請主管機關核准。,公有古物想要複製收藏，為個人行為，政府不會干涉。,D
403,隨著科技的進步，現代科學家運用什麼方法，來進行更高效率的「微生物研究」？,用培養液及特定的培養條件，培養出微生物。,"次世代基因定序法(Next Generation Sequencing, NGS)",桑格定序法(Sanger sequencing),以上皆為高效率的研究方式,B
404,焚化底渣資源化處理後，所分離出的鐵金屬與非鐵金屬，應依規定如何處理？,由合格回收商處理,掩埋處理,覆土處理,焚化廠處理,A
405,下列何者不是臺灣「2050 淨零排放」十二項關鍵戰略？,前瞻能源,海洋保育,公正轉型,綠色金融,B
406,過去大安森林公園曾經捕捉到鱷魚。推測鱷魚出現的來源為何？,遭民眾棄養的寵物,公園內原有的生物,政府引入用來增加公園內生物多,學術單位進行的保育研究,A
407,下列何者為泰雅族傳統織布的重要原料？,棉花,亞麻,黃麻,苧麻,D
408,以下哪一項飲食行為最符合低碳飲食原則？,食用高級進口和牛,食用在地當季水果,食用網購外送餐點,食用精緻烘焙甜點,B
409,研究指出，碳排放增加使氣候系統變得不穩定，進而加劇自然災害的發生。下列哪一項策略最有助於從源頭減緩這類災害的發生？,鼓勵使用再生能源,興建海水淡化廠以應對乾旱,加強預警系統以提早應對災害,設置消波塊以減緩海岸侵蝕,A
410,DDT造成生物放大效應的原因為何？,因DDT在生物體內無法分解，在生物體內的濃度隨著食物鏈的階層逐漸增加,因高級消費者體內分解DDT的能力較生產者低,因為較大型的動物偏好捕食具DDT的生物,因DDT使受污染生物的總生物量增大,A
411,下列何者不是環保標章產品的特性？,可回收,較貴,省資源,低污染,B
412,若在模擬情境中，發現未來海平面上升1公尺，造成大量人口需遷移。政府應採取下列哪項策略較為有效？,禁止媒體報導災情,放任居民自行搬遷,停止所有農業活動,規劃遷村與都市轉型,D
413,以下關於海水淡化的敘述，何者不正確？,海水淡化又稱為海水脫鹽,海水淡化的目的主要是為了提供民生用水,台灣目前的海水淡化廠大多數設立在淡水資源較不足的離島,海水淡化會導致海平面下降，減緩氣候變遷帶來的衝擊,D
414,與自然萬物和諧共處，以「燒墾游耕」方式放火燒草而不施肥，請問這是哪一族群的傳統農耕技法？,泰雅族,平埔族,西拉雅族,邵族,A
415,下列何者是目前臺灣生物資源遭受威脅的主因之一？,生物因天擇被淘汰,因原生生物彼此競爭大，導致物種減少,土地過度開發或不當利用,遭到天敵捕獵,C
416,人類常會利用各種地形從事適合的活動，下列哪一項開發與地殼曾經有過的隆升作用無關？,半屏山的水泥工廠,長濱海蝕洞內的廟宇,花東海階上的聚落,蘭陽平原上的水田,D
417,每逢秋、冬季節，臺灣各個河口形成賞鳥最佳地點。若要欣賞大量「黑面琵鷺」過冬景象，以下何處最有機會？,高屏溪口,大甲溪口,曾文溪口,淡水河口,C
418,下列對於自然資源保育的敍述哪一項是「錯誤」的？{...}>自然資源依其形成的特徵和被人類利用時間的長短，...[...]>有限的自然資源中，一部分是...,{...}可分為可再生資源及非再生資源兩類,可再生的自然資源是指在一定時間內透過自然生產或其他循環過程來補充,[...]可更新的，如水、土壤、動物、植物等，故不需要特別珍惜,[...]不可更新的，如泥炭、煤、石油、各種礦物等，在地球的存量有限，故應合理的利用,C
419,土石流災害之發生，乃因泥、砂、礫及巨石等地質材料與水之混合物受重力作用後產生流動所造成之災害，其發生包括一些要件，下列哪一項描述「不是」相關要件？,足夠的上游堆積物,有效的河床坡度,充足的水量,水土保持良好,D
420,台灣雖有多座水庫，但仍經常出現缺少危機，以下關於水庫的敘述何者正確？,缺水主要是因為原本興建的水庫太小，無法續存足夠的水量,由於許多水庫泥沙淤積嚴重，降低了原本水庫的蓄水量,水庫興建位置錯誤，因此無法蓄積足夠的水量,水庫的水量都作為發電用途，無法提供給民生及工業用水使用,B
421,為了達到源頭減量，環境部於112年7月訂定了哪一項限制，並在114年1月1日起正式生效？,旅宿業不得主動提供一次性個人用品。,菜市場不得主動提供塑膠袋給民眾。,網購包裝材料不可使用含聚氯乙烯塑膠材質。,全國飲料店全面禁用一次性塑膠杯。,A
422,一場颱風重創台灣，造成嚴重災損。由於重建資源有限，政府在分配資源時，若要落實「氣候正義」的理念，應優先考量哪一群體？,擁有保險的富人家庭,無家可歸的弱勢族群,房地產開發商,股市投資客,B
423,卡式爐瓦斯罐用完後，應當以『完、包、警、收』四步驟進行處理，請問關於口訣的意義，何者「錯誤」？,完：確認用完,包：單獨打包,警：加註示警,收：不可回收,D
424,「潮汐發電」的發電原理為何？,利用海水的溫差,利用海水的波動,利用海流的流動,利用海水的水位差,D
425,請問我國哪座國家公園地形由花崗岩、紅土臺地及海岸低地所組成？,台江國家公園,金門國家公園,太魯閣國家公園,雪霸國家公園,B
426,為什麼每個人都應該參與減緩氣候變遷的行動？,因為氣候變遷只影響其他國家,個人行動無法改變氣候變遷,每個人的小行動累積起來可以帶來正面改變,氣候變遷只需要政府處理，和人民無關,C
427,颱風來臨時容易造成土石流災害，其主要原因是下列何者？,颱風氣流引發海水倒灌，使土石遭侵蝕鬆動,颱風帶來短時強降雨，沖刷土石造成鬆動,颱風引發地震，使土石鬆動,颱風造成颳強風，使土石被吹落,B
428,1987年聯合國提出《我們的未來》報告書，其中指出「永續發展」的理念是？,完全禁用一次性餐具,各國減少硫化物排出量及削減氮氧化物30%,2008~2012年達到二氧化碳減量5~8%,滿足當代需求，且不損及後代滿足其需要之發展,D
429,下列何者「不是」飲用水水質標準中物理性之標準項目？,臭度,濁度,硬度,色度,C
430,下列關於微生物的說明，何者錯誤？,指人類肉眼看不見的微小生物，但不包含藻類。,十七世紀雷文霍克發明顯微鏡，人類才看到微生物的真面目。,腸道中的微生物，比人體全身的細胞還要多！,腸道中的微生物可促進人體的養分吸收。,A
431,公害病是指因公害而生的各種疾病，請問下列何者「不是」公害病？,油症,烏腳病,痛痛病,黃熱病,D
432,如果垃圾掩埋場沒管理好，垃圾滲出水流出來，最容易汙染哪一種資源？,空氣,聲音,地下水,能源,C
433,下列何者不屬於二日綠色旅遊行程的必要條件？,環保餐廳/綠食飯桌用餐,環境教育設施場所或生態遊憩場所,搭乘大眾運輸,環保標章旅館住宿,C
434,下列何者是利用垃圾焚化廠處理垃圾的最主要優點？,消除所有毒性,減少原本的垃圾體積,降低空氣污染,簡化處理垃圾的程序,B
435,下列何者不是台灣針對「永續旅遊」所做出的努力？,環境部規定自114年起，旅宿業者不得主動提供一次性備品。,清境地區業者大量興建民宿，促使當地成為熱門旅遊景點。,龜山島管制每日登島人數，減少過多遊客造成的生態壓力。,「台灣好行」景點接駁公車規劃，提升各景點的大眾運輸可及性。,B
436,購買環保標章產品能夠實踐哪一項理念？,增加商品包裝，提升吸引力,搭配促銷活動，大量採購囤貨,提升使用效率，減少資源浪費,使用化學塗料，提高產品耐久性,C
437,海上油輪漏油後，要用什麼方法清理油污？,自然分解,用吸油棉清理,用洗潔劑分解油污,加更多水稀釋油污,B
438,下列何種空氣污染物是機車排氣檢驗的檢測項目？,懸浮固體及氨氮,一氧化碳及碳氫化合物,懸浮微粒及硫氧化物,氮氧化物及鉛,B
439,釩液流電池與鋰電池相比，有哪些不同之處？,釩液流電池只能用一次。,釩液流電池用顏色顯示電力狀態，且更安全。,鋰電池體積比釩液流電池大很多。,相較於鋰電池，釩液流電池有較多爆炸的風險。,B
440,當湖泊養分過多時，會對河川或湖泊中的生物棲息環境造成何種影響？,魚類會大量繁殖,增加水中氧氣,藻類會大量繁殖,增加魚類的活動空間,C
441,下列何者並非天然濕地所具有的功能？,調節水資源,具備觀光與遊憩功能,生物棲地與食物來源,重要軍事戰略地形,D
442,以下哪一種細菌對珊瑚的生長有重要的影響？,鏈黴菌,葡萄球菌,乳酸菌,綠硫菌,D
443,關於土壤的敘述，下列何者正確？,土壤是由岩石風化後產生的碎屑組成，成分非常單純。,土壤只是植物需要的，對動物沒有太大的幫助。,土壤裡除了有岩石碎屑，還混有生物遺體腐化後的物質，並有分解者幫忙分解。,健康的土壤應該越乾淨越好，不可以有生物或枯葉殘渣。,C
444,氣象局針對山區發布「土石流黃色警戒」訊息。下列哪項是居民應採取的正確行動？,馬上返家收拾行李,前往山區觀察情況,注意政府指示並準備撤離,進入山區幫忙拍攝影片,C
445,台灣的離岸風機主要建在哪裡？,台灣西部的沿岸地帶。,臺南、高雄與屏東外海。,宜蘭、花蓮與台東外海。,新竹、苗栗與彰化外海。,D
446,有關省水標章的描述，以下何者不正確？,標章中的箭頭向上，代表將中心的水滴接起，強調回收再利用,右邊的三條水帶代表著愛水、節水、親水，鼓勵民眾愛護水資源,省水標章只有藍色一種顏色，若看到金色的標章代表是偽造的標章,貼有省水標章的器材與一般傳統器材相比，表示可以節省一半以上的用水量,C
447,聯合國提書SDGs永續發展目標，請問目標6是什麼？,經濟適用的潔淨能源,保育及維護海洋資源,氣候行動,清潔飲水和衛生設施,D
448,針對河川污染問題，以下哪一項做法最符合永續發展的整治策略？,倒入消毒水殺菌,以用水泥鋪設保護堤岸,拔除水中植物淨化水質,建設人工濕地進行自然淨化,D
449,以下哪一項不是「看不見的多樣性」影片中提到的保育行動？,種回小米，找回泰雅族族民的傳統農耕方式。,培養對珊瑚有幫助的好菌，幫助珊瑚健康。,一地多用，在魚塭養殖廠設置太陽能發電。,利用山林裡的微生物菌種來種菜和養雞。,C
450,臺灣的飲用水主要來源為何？,回收水,海水淡化,跟別國購買,河川,D
451,有關黑面琵鷺的敘述，下列哪個選項是「錯誤」的？,黑面琵鷺瀕臨絕種，屬於世界級保育類動物,黑面琵鷺是候鳥，他們每年會跨越許多國家到臺灣過冬,目前為了黑面琵鷺，我們必須保護臺南七股濕地，不宜開發為工業用地,為保育黑面琵鷺，我們應將他們關在動物園，方便加以照顧使其數量增加,D
452,目前臺灣「能源」供給以下列何者為最主要的？,煤,石油,核能,液化天然氣,B
453,全球可劃分為熱帶、溫帶、寒帶三個氣候帶。劃分此三個氣候帶的指標為哪兩條緯線？,本初經線、赤道,赤道、回歸線,回歸線、極圈,國際換日線、赤道,C
454,地球平均氣溫愈來愈高，一般認為的主因為下列何者？,火山活動增加,人為二氧化碳的排放量增加,太陽輻射,空氣中帶有硫酸及硝酸成分,B
455,下列有關登革熱的敘述何者「錯誤」？,主要是經由蚊子叮吮而感染,應在住屋加裝紗窗、紗門,家中積水容器可不用清理,會有發燒的症狀,C
456,全臺第一座太陽能高鐵車站為何？,臺中站,左營站,苗栗站,臺北站,C
457,金門民宅興建朝同一方向並坐落於前低後高的基地上，形成什麼建築布局?,一條龍,三合院,四合院,梳式,D
458,有關生物分類系統描述，下列哪個選項是「錯誤」的？,以7個階層分類,分類階層越高種類越多,越低階的種類越少，但越相近,外表相似即代表物種相近,D
459,國內受太平洋高壓影響，全臺天氣炎熱，當氣溫達38°C以上且持續3日以上，中央氣象局高溫資訊所顯示燈號為？,綠,黃,橙,紅,D
460,目前世界衛生組織中所定義的「細懸浮微粒」，係指空氣中的哪一項污染物？,PM1.0,PM2.5,PM10,TSP,B
461,道路交通管理處罰條例第44條明定，6月30日起，駕駛人行近行人穿越道或其他依法可供行人穿越之交岔路，不暫停讓行人先行通過最高罰6000元。請問執法標準以「車頭距離斑馬線上行人不足多少公尺開罰」為原則?,4,3,2,1,B
462,關於壽山國家自然公園的生物，以下敘述何者正確？,有全台灣最大群的山豬居住,馬卡道澤蟹是此地獨特的新種,有許多的狐猴,芝麻蝸牛是常見蝸牛,B
463,根據環境教育法第四條，下列選項中哪些是環境教育之對象?,全體國民,政府機關,學校,以上皆是,D
464,由北至南依序排列臺灣本島的國家公園，下列哪個選項完全正確？,太魯閣、雪霸、墾丁,雪霸、太魯閣、玉山,臺江、玉山、墾丁,雪霸、臺江、玉山,B
465,有效餘氯在自來水的安全衛生上扮演極重要的角色。如何維持自來水的有效餘氯？,讓氯氣溶於水中,讓六氯苯溶於水中,讓三氯乙烷溶於水中,讓氯乙烯溶於水中,A
466,陽明山國家公園擁有獨特的錐狀或鐘狀火山體和火口湖。請問此區多屬於下列哪種岩石？,玄武岩,花崗岩,安山岩,火成岩,C
467,餐飲業者達成幾項「十大惜食行動」即可成為惜食推廣種子店家？,一項,三項,五項,十項,B
468,下列何者「不是」水力發電的優點？,不會造成空氣污染,不會有生態衍生問題,運維成本低,可以重複使用,B
469,為推動全民食農教育，強化飲食、環境與農業之連結，特制定「食農教育法」。請問其推動方針不包含下列何者?,支持認同在地農業,地產地消永續農業,傳承與創新飲食文化,加入WTO提倡公平貿易,D
470,在勞動時大量出汗，鹽份亦會同時損耗，若只補充水份容易引起肌肉抽搐疼痛。此為何種熱危害症狀？,熱中暑,熱痙攣,熱衰竭,心臟衰竭,B
471,下列何者最符合「源頭減量」的環保原則？[AI重新生成],將使用過的寶特瓶分類回收,將廢紙送至回收場,購買商品時自備環保袋，減少使用一次性塑膠袋,將廚餘集中處理製成堆肥,C
472,在河道逕流量中有84.04%直接入海，主要是因為臺灣的哪個地形特性所致？,坡陡流急,彎彎曲曲,河道平緩,河道寬闊,A
473,目前許多產品在包裝上均會標示哪一種資料，代表產品製造排放的二氧化碳？,製造國家,碳足跡,材料成分,運送里程,B
474,水稻秋收後，農民栽種油菜花的主要目的是什麼？請選出下列最正確的答案。,開放觀光增加收入,作為下一季稻作的綠肥,榨取油菜籽的油販賣,採收油菜花販賣,B
475,下列哪個選項「不是」環保標章的概念？,低污染,可回收,省資源,低單價,D
476,下列哪一個對於熱島效應的描述是正確的？,發生在小島上,使一個地方的溫度特別的高,多發生在植物很多的地方,多發生在海邊,B
477,下列何種物質屬於空氣中的「懸浮微粒」？,花粉,水氣,氧氣,氟氯碳化物,A
478,PM2.5危害人體健康的最主要原因是什麼？,PM2.5易隨呼吸深入人體,PM2.5易被皮膚所吸收,PM2.5含有重金屬,PM2.5易沉降累積,A
479,午後雷陣雨常來得急、去得快，往往讓人措手不及。有關午後雷陣雨的敘述，下列哪個選項是正確的？,午後雷陣雨僅出現於臺灣西南部,夏天臺灣盛行的東北風來自於海洋氣團的影響,氣團性質視其起源地而定,源自蒙古大陸的冷氣團為低氣壓,C
480,環境中的重金屬污染，可藉由下列何種作用加深對人體的傷害？,溫室效應,熱島效應,累積效應,光化學效應,C
481,下列何者對於「超級累積植物」的描述是正確的？,可大範圍分解土壤中的重金屬物,可吸附重金屬的一種植物,只可分解土壤中含鐵物質,可吸附土壤中大量的重金屬,D
482,消防栓、消防車出入口，多少距離以內不得臨時停車？,3公尺,5公尺,8公尺,10公尺,B
483,下列那個濕地位於鳳凰山脈與阿里山山脈嶺線分界點，且植物界線分明？,椬梧濕地,大湳湖濕地,草湳濕地,草坔濕地,D
484,在哪一個國家公園內可以看到在陸蟹的繁殖季節時，舉辦協助陸蟹過馬路的保育活動?,澎湖南方四島國家公園,墾丁國家公園,台江國家公園,雪霸國家公園,B
485,機車出廠滿五年每年應接受排氣定期檢驗一次，定期檢驗不合格之機車，應於多久內修復並複驗合格?,一個月,三個月,六個月,九個月,A
486,為減少食物、廢棄物及溫室氣體排放等環境問題，環境部於107年開始號召餐飲業者，響應十大惜食行動，成為惜食推廣種子店家，一同推動惜食環境教育。請問下列選項中，何者不屬於惜食行動?,為了讓餐點好看，不使用醜蔬果入菜,將剩餘食物或食材捐贈給食物銀行,鼓勵消費者吃多少買多少,提供客人餐點內容的資訊,A
