題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
305,暑期練習7/20,有關二氧化碳和氧氣的敘述，下列哪個選項是正確的？,汽水的主要成分是溶入氧氣的碳酸水,氧氣不助燃的特性，可作為滅火器使用,酵母菌的發酵作用會產生氧氣，使麵包膨鬆,動物呼出的氣體含有二氧化碳,(D) 動物呼出的氣體含有二氧化碳,"【正解】：(D)
【解析】：
1. 正確選項 (D)：動物透過細胞呼吸作用消耗氧氣、氧化分解葡萄糖產生能量，並將代謝產生的二氧化碳經由血液循環與肺部（或呼吸器官）呼出體外，因此呼出氣體中含有二氧化碳（約佔 4~5%）。
2. 其他選項說明：
- (A) 汽水是利用高壓將「二氧化碳（CO2）」溶於水形成碳酸水，非溶入氧氣。
- (B) 氧氣具「助燃性」，會加劇燃燒；「二氧化碳」不助燃且比空氣重，才常用於滅火器。
- (C) 酵母菌進行酒精發酵時會釋放「二氧化碳（CO2）」，二氧化碳受熱膨脹才使麵包內部形成氣孔而蓬鬆。"
306,暑期練習7/20,黑面琵鷺是世界上非常稀少的鳥種，被列為瀕臨滅絕動物保護，每年9月至10月抵臺，一直待到翌年的3月至5月左右，才陸續飛離臺灣。請問黑面琵鷺主要分布在哪一個地區?,東歐,西亞,東亞,南美洲,(C) 東亞,"【正解】：(C)
【解析】：
1. 正確選項 (C)：黑面琵鷺（Black-faced Spoonbill）是全球瀕危物種，屬於「東亞-澳大利西亞遷徙線」上的代表性候鳥。其繁殖地在朝鮮半島西側外海無人島及中國東北、俄羅斯遠東，每年秋季南遷至「東亞」沿海地區（如臺灣臺南七股、嘉義布袋、香港米埔、中國華南、越南紅河三角洲等）度冬。
2. 其他選項說明：(A) 東歐、(B) 西亞、(D) 南美洲皆非黑面琵鷺的繁殖地或越冬分佈區域。"
307,暑期練習7/20,下列那個濕地位於鳳凰山脈與阿里山山脈嶺線分界點，且植物界線分明？,椬梧濕地,大湳湖濕地,草湳濕地,草坔濕地,(D) 草坔濕地,"【正解】：(D)
【解析】：
1. 正確選項 (D)：草坔濕地（位於南投縣竹山鎮與鹿谷鄉交界處）地處鳳凰山脈與阿里山山脈的稜線分界點，屬於特殊的高山森林泥炭沼澤濕地，水文條件特殊，周邊植被隨地形與濕度呈現極為分明的生態界線。
2. 其他選項說明：
- (A) 椬梧濕地：位於雲林縣口湖鄉，為平原滯洪池濕地。
- (B) 大湳湖濕地：位於南投縣埔里鎮大湳地區。
- (C) 草湳濕地：位於南投縣埔里鎮桃米生態村，屬低海拔淡水草澤。"
308,暑期練習7/20,下列哪一種元素會使土壤產生紅色的現象？,鉻(ㄍㄜˋ),鐵,銅,硫,(B) 鐵,"【正解】：(B)
【解析】：
1. 正確選項 (B)：紅壤（紅土）是在高溫多雨的氣候條件下，土壤經過強烈淋溶作用，易溶的鹼金屬、鹼土金屬及矽酸鹽被雨水淋洗流失，而難溶的「鐵（主要為氧化鐵/三氧化二鐵，Fe2O3）」與鋁在表層高度富集，氧化鐵呈現紅褐色，使土壤呈現明顯的紅色。
2. 其他選項說明：
- (A) 鉻：為重金屬污染物，非天然紅土呈色的主因。
- (C) 銅：化合物通常呈現藍色或綠色。
- (D) 硫：單質呈黃色，在還原厭氧土壤中常與鐵結合成黑色硫化亞鐵。"
309,暑期練習7/20,下列有關『臭氧層』的敘述，何者錯誤？(A:)臭氧自然形成於距地表25至50公里的大氣層中，可以吸收紫外線，[...],[...]故臭氧層的作用對地球生物極為重要。,於聯合國簽署的《蒙特婁議定書》是世界各國保護臭氧層的轉捩點,臭氧層的破損與極端氣候互為因果,縱使各國再如何努力保護地球，已經遭破壞的臭氧層破洞已經難以復原,(D) 縱使各國再如何努力保護地球，已經遭破壞的臭氧層破洞已經難以復原,"【正解】：(D)
【解析】：
1. 正確選項（錯誤敘述）(D)：科學監測證實，自1987年各國簽署《蒙特婁議定書》並嚴格禁用氟氯碳化物（CFCs）等破壞臭氧層物質後，平流層臭氧層破洞已出現穩定的縮小與自我修復趨勢。聯合國評估若維持現行管制，全球大部分地區的臭氧層預計在2040年至2066年間即可逐步恢復至1980年代以前的水平，並非「難以復原」。
2. 其他選項說明：
- (A) 平流層中的臭氧能吸收大部分對生物有害的中短波紫外線（UV-B與UV-C），是地球生命的保護傘。
- (B) 《蒙特婁議定書》被公認為全球最成功的國際環境公約之一，有效扭轉了臭氧層耗損危機。
- (C) 臭氧層破損會改變極地平流層溫度梯度與對流層大氣環流（如極地渦旋與西風帶），與氣候變遷存在交互影響。"
310,暑期練習7/20,海底珊瑚礁露出水面所形成的島嶼稱之為珊瑚礁島。以下何者為此類型島嶼？,金門島,馬祖列島,綠島,東沙島,(D) 東沙島,"【正解】：(D)
【解析】：
1. 正確選項 (D)：東沙島位於南海北部，是由珊瑚骨骼與貝類碎屑歷經長期生物堆積、地殼變動隆起及珊瑚沙沉積而成的典型「珊瑚礁島」（環礁島嶼）。
2. 其他選項說明：
- (A) 金門島：屬於「大陸島」（由花崗岩基岩構成）。
- (B) 馬祖列島：屬於「大陸島」（花崗岩質島嶼）。
- (C) 綠島：屬於「火山島」（由安山岩等火山噴發岩石構成，周圍雖有裙礁發育，但島體本質為火山島）。"
311,暑期練習7/20,「在中緯度地區，由於某種關鍵因素的影響，天然植被的經向地帶性格外規律，呈現由西(沿海)向東(內陸)依序為森林、草原與沙漠的變化。」上述最為關鍵的影響因素應為下列哪個選項？,洋流,西風,海拔高度,熱帶氣旋,(B) 西風,"【正解】：(B)
【解析】：
1. 正確選項 (B)：在中緯度地區（如歐亞大陸），盛行「西風帶」自大西洋將溫暖濕潤的水氣由西向東輸送。沿海地區因盛行西風帶來豐沛降水，形成溫帶落葉闊葉林；往東深入內陸，水氣逐漸遞減，降水減少轉為溫帶草原；至深處內陸因水氣難以抵達且地形阻隔，極度乾燥形成溫帶沙漠。因此西風吹拂所驅動的水氣梯度是植被經向變化的關鍵動力。
2. 其他選項說明：
- (A) 洋流：主要調節沿海熱量，無法決定橫貫數千公里內陸的經向水氣輸送大氣環流。
- (C) 海拔高度：主要主導垂直地帶性植被變化，非宏觀水平經向地帶性。
- (D) 熱帶氣旋：影響低緯至中低緯沿海，對中緯度廣大內陸之常態植被分布無決定性作用。"
312,暑期練習7/20,下列對雙酚A的敘述何者錯誤?,常見於塑膠瓶、玩具上,影響生殖與發育,造成體重過瘦,會造成糖尿病,(C) 造成體重過瘦,"【正解】：(C)
【解析】：
1. 正確選項（錯誤敘述）(C)：雙酚A（BPA）是一種環境荷爾蒙（內分泌干擾物），研究指出雙酚A會干擾人體內分泌系統與脂肪代謝，增加胰島素阻抗，反而容易造成「肥胖（體重過重）」與代謝症候群，而非造成體重過瘦。
2. 其他選項說明：
- (A) 雙酚A曾廣泛用於製造聚碳酸酯（PC）塑膠奶瓶、水杯、食品罐頭內襯及玩具。
- (B) 雙酚A具類雌激素活性，會干擾性荷爾蒙分泌，損害生殖功能與嬰幼兒發育。
- (D) 流行病學研究證實，長期暴露雙酚A會破壞胰島細胞功能，顯著增加罹患第二型糖尿病的風險。"
313,暑期練習7/20,有關生物的命名法，下列哪個選項是正確的？,以俗名分類,俗名加上種名,學名,種名,(C) 學名,"【正解】：(C)
【解析】：
1. 正確選項 (C)：現代生物學採用林奈創立的「雙名法」給予生物統一通用的「學名（Scientific Name）」。學名使用拉丁文，由「屬名（名詞，字首大寫）」加上「種小名／種加詞（形容詞，字首小寫）」組成，是國際科學界公認且唯一的標準命名。
2. 其他選項說明：
- (A)(B) 俗名（Common name）因地域、語言而異，常有一物多名或同名異物之混亂，無法作為正式科學分類標準。
- (D) 單純的種名（種小名）為形容詞，無法單獨代表該物種，必須結合屬名才構成完整學名。"
314,暑期練習7/20,水庫內的水質優養化對水庫中的魚類最後會造成什麼影響？,水中有更多對魚類生存有幫助的養分,水質變好，但對魚類沒有幫助,水質變差，影響魚類的生存,對魚類完全沒有任何影響,(C) 水質變差，影響魚類的生存,"【正解】：(C)
【解析】：
1. 正確選項 (C)：水庫優養化是指水中氮、磷等營養鹽過剩，導致藻類暴發性增殖（藻華）。當大量藻類死亡後，好氧微生物在分解藻類殘體時會劇烈消耗水中的溶氧，造成水體嚴重缺氧甚至厭氧發臭，並可能釋放微囊藻毒素，導致水質急遽惡化，引發魚蝦大量窒息暴斃。
2. 其他選項說明：(A)、(B)、(D) 皆誤解了優養化的危害，優養化絕非提供有益養分或改善水質，而是造成生態浩劫。"
315,暑期練習7/20,每年在大量紫斑蝶遷徙時段行經國道三號林內段時，國道高速公路局會封閉國道三號林內段外側車道的讓道方案，用意是什麼？,疏解交通壅塞,保護自然生態,促進觀光發展,顧及行車安全,(B) 保護自然生態,"【正解】：(B)
【解析】：
1. 正確選項 (B)：每年春季（清明節前後）紫斑蝶由南部茂林等度冬蝶谷集體北返繁殖，路徑橫跨國道三號雲林林內段。高速公路局架設防護網並推動「國道讓道方案」（蝶量達每分鐘250隻時封閉外側車道、調降車速），旨在減少車流氣旋造成的紫斑蝶路殺（Roadkill），具體落實生態廊道維護與自然生態保護。
2. 其他選項說明：(A)、(C)、(D) 封閉車道並非為了解決交通問題或發展觀光，其核心目標為野生動物保育。"
316,暑期練習7/20,幾十年前曾有人引進小花蔓澤蘭來綠化環境，今日這種植物已經在臺灣部份地區造成許多原生植物死亡，甚至危害農作物，因此有綠色癌症之稱，關於此現象，下列哪個選項是正確的敘述？,這是天擇的結果，應讓其自然演化,不當引入外來生物，可能破壞原本的生態平衡,應多引入外來種昆蟲，以控制此植物的繁衍,外來種植物可增加本地的生物多樣性,(B) 不當引入外來生物，可能破壞原本的生態平衡,"【正解】：(B)
【解析】：
1. 正確選項 (B)：小花蔓澤蘭原產於中南美洲，人為引進臺灣後因缺乏天敵制衡且生長蔓延極迅速，會大面積覆蓋攀附於樹冠上方，阻絕陽光使原生樹木無法行光合作用而枯死（窒息），是典型不當引入外來生物破壞本土生態平衡與生物多樣性的嚴重案例。
2. 其他選項說明：
- (A) 此為人為引入之外來入侵危害，非原生自然演化天擇，放任將導致森林劣化。
- (C) 隨意引進未經嚴格檢疫與評估的外來昆蟲可能引發二次生態災難。
- (D) 外來入侵種會排擠消滅本土物種，造成本土生物多樣性大幅下降而非增加。"
317,暑期練習7/20,臺灣中高海拔山區唯一最廣大而完整的生態保護區是下列那一個？,關渡自然保留區,出雲山自然保留區,葉蘭自然保留區,大武山自然保留區,(D) 大武山自然保留區,"【正解】：(D)
【解析】：
1. 正確選項 (D)：大武山自然保留區面積廣達約 47,000 公頃，橫跨中央山脈南段（南北大武山一帶），垂直海拔自數百公尺拔升至三千公尺以上，涵蓋完整的天然暖溫帶至冷溫帶原始闊葉林與針闊葉混生林，是臺灣面積最大且最完整的中高海拔天然生態保護區。
2. 其他選項說明：
- (A) 關渡自然保留區：位於淡水河口低海拔草澤濕地。
- (B) 出雲山自然保留區：面積約 6,248 公頃，規模遠小於大武山。
- (C) 臺灣一葉蘭自然保留區：位於苗栗南庄，面積僅約 64 公頃，專為保護單一植物棲地設立。"
318,暑期練習7/20,以下何種能量會被地球吸收而產生暖化的現象？,紅外線,X光,雷射,α射線,(A) 紅外線,"【正解】：(A)
【解析】：
1. 正確選項 (A)：太陽短波輻射照射加熱地球表面後，地表會將熱能以「長波輻射（熱紅外線，Infrared radiation）」形式向外太空發射。大氣中的溫室氣體（如二氧化碳、水氣、甲烷等）能強烈吸收這些地表長波紅外線，並將熱量重新輻射回地表，造成溫室效應與全球暖化。
2. 其他選項說明：
- (B) X光：屬於短波高能游離輻射，主要在高層大氣（電離層）被吸收，非溫室效應熱量截留機制。
- (C) 雷射：為人工受激發射的光束，非地球自然輻射平衡的主要形式。
- (D) α射線：為放射性衰變產生的氦原子核粒子，穿透力極弱，與全球暖化溫室效應無關。"
319,暑期練習7/20,以下哪些天然災害可能會與氣候變遷效應發生關聯性？(A)洪水 | (B)山崩與土石流 | (C)土地沙漠化 | (D)地層下陷。,[A],[AB],[ABC],[ABCD],(D) [ABCD],"【正解】：(D)
【解析】：
1. 正確選項 (D)：氣候變遷加劇了極端氣候事件的頻率與強度：
   - (A) 洪水：極端短延時強降雨直接導致河川氾濫與市區洪澇；
   - (B) 山崩與土石流：極端暴雨造成山坡土壤含水量飽和引發土石流；
   - (C) 土地沙漠化：乾旱頻率上升與氣溫增高加劇蒸散發，導致乾旱與半乾旱區土地退化；
   - (D) 地層下陷：氣候變遷引發嚴重乾旱枯水期，迫使農業與民生大量超抽地下水，間接加劇地層下陷，且海平面上升亦使下陷區水患更為嚴重。
   因此 (A)(B)(C)(D) 皆與氣候變遷密切關聯。
2. 其他選項說明：(A)、(B)、(C) 漏列了與乾旱抽水及海平面上升交互作用的地層下陷。"
320,暑期練習7/20,下列何者為「族群」的意義？,生長於同一時期、同一棲地的同種生物集合,生長於同一時期、同一棲地的所有生物集合,生長於同一時期、不同棲地的同種生物集合,生長於不同時期、同一棲地的所有生物集合,(A) 生長於同一時期、同一棲地的同種生物集合,"【正解】：(A)
【解析】：
1. 正確選項 (A)：在生態學中，「族群（Population）」的定義為：在「同一時期（特定時間）」生活於「同一棲地（特定空間）」的「同種生物」所有個體的集合，彼此能夠自由交配並繁衍具有生殖能力的後代。
2. 其他選項說明：
- (B) 同一時期、同一棲地的「所有不同種生物集合」稱為「群落／群集（Community）」；結合非生物環境後稱為「生態系（Ecosystem）」。
- (C) 不同棲地之個體因地理隔離通常視為不同族群。
- (D) 跨越不同時期的生物個體無法同時生活與進行基因交流，不符合族群定義。"
321,暑期練習7/20,天氣預報中的「人體舒適度」意指為何？,不同溫度、濕度條件下，人體感覺舒適的程度,不同氣壓條件下，人體感覺舒適的程度,不同太陽光強度，人體感覺舒適的程度,天空雲量多寡，人體感覺舒適的程度,(A) 不同溫度、濕度條件下，人體感覺舒適的程度,"【正解】：(A)
【解析】：
1. 正確選項 (A)：氣象預報中的「人體舒適度指數（Comfort Index）」是綜合考量「氣溫」與「相對濕度」（有時包含風速）對人體散熱（如汗液蒸發）之影響，評估人體在特定溫濕度組合下的體感舒適狀況（如悶熱、舒適、偏涼、寒冷等）。
2. 其他選項說明：(B) 氣壓、(C) 陽光強度、(D) 雲量雖為氣象參數，但非人體舒適度指數的核心計算依據。"
322,暑期練習7/20,世界環境日是聯合國鼓勵全球居民提高環保意識和採取環保行動的主要力量。請問聯合國人類環境會議將每年的幾月幾日作為「世界環境日」?,3月21日,4月22日,5月22日,6月5日,(D) 6月5日,"【正解】：(D)
【解析】：
1. 正確選項 (D)：1972年6月5日聯合國在瑞典斯德哥爾摩召開歷史性的「聯合國人類環境會議」，並通過《人類環境宣言》。同年聯合國大會通過決議，將每年的「6月5日」訂為「世界環境日（World Environment Day）」。
2. 其他選項說明：
- (A) 3月21日：國際森林日（世界森林日）。
- (B) 4月22日：世界地球日（Earth Day）。
- (C) 5月22日：國際生物多樣性日（International Day for Biological Diversity）。"
323,暑期練習7/20,收集酸雨，用石蕊試紙檢驗會有下列哪種變化？,藍色石蕊試紙變紅色,紅、藍石蕊試紙都不變色,紅色石蕊試紙變藍色,都變成黑色,(A) 藍色石蕊試紙變紅色,"【正解】：(A)
【解析】：
1. 正確選項 (A)：石蕊試紙為酸鹼指示劑。在酸性溶液中，「藍色石蕊試紙會變為紅色」，而紅色石蕊試紙保持紅色。酸雨（pH值小於5.0）呈酸性，因此能使藍色石蕊試紙變為紅色。
2. 其他選項說明：
- (B) 中性溶液時紅藍試紙皆不變色。
- (C) 鹼性溶液會使紅色石蕊試紙變為藍色。
- (D) 試紙接觸酸雨不會變黑（強濃硫酸脫水碳化才會變黑，稀薄酸雨不會）。"
324,暑期練習7/20,鵝鑾鼻公園裡，什麼地方是蝴蝶們絕佳的避風港，可以阻擋落山風?,燈塔,矮灌木,棕櫚樹,珊瑚礁岩,(D) 珊瑚礁岩,"【正解】：(D)
【解析】：
1. 正確選項 (D)：恆春半島秋冬季節盛行強勁的「落山風」。鵝鑾鼻公園內發育了高聳崎嶇的「隆起珊瑚礁岩石林與峽谷裂隙」，能有效屏障阻擋強烈強風，礁縫與避風谷地形成溫暖穩定的微氣候，是蝴蝶與各類昆蟲躲避強風的最佳天然避風港。
2. 其他選項說明：
- (A) 燈塔位於空曠開闊高處，迎風受力最大，無避風效果。
- (B)(C) 矮灌木與棕櫚樹迎風搖擺，難以提供穩固且遮風效果極佳的微棲地。"
325,暑期練習7/20,因臺灣位於歐亞大陸板塊與菲律賓板塊交界處，地震頻繁，對於地震的應變措施下列何者有誤?,地震發生時應躲在黃金三角處,地震發生時應躲在冰箱旁，確保食物充足,若發生強烈地震應趕緊開門，防止門變形逃不出去,以上皆是,(D) 以上皆是,"【正解】：(D)
【解析】：
1. 正確選項 (D)：選項 (A)、(B)、(C) 皆為常見的錯誤避難迷思，故「以上皆是」為正確答案：
   - (A) 錯誤迷思：「黃金三角」已被各國防災單位證實為危險觀念，建物或重物傾倒易直接壓傷人員，正確避難原則為「趴下（Drop）、掩護（Cover）、穩住（Hold on）」，保護頭頸；
   - (B) 錯誤迷思：躲在冰箱旁極易被翻覆的大型家電壓傷；
   - (C) 錯誤迷思：強震劇烈搖晃時貿然起身開門極易跌倒或被掉落物砸傷，應先就地掩護，待主震停止後再確認開門與動線。
2. 其他選項說明：(A)、(B)、(C) 均屬錯誤應變行為，故選 (D)。"
326,暑期練習7/20,下列何種方式在校園內可以節省能源？,多乘電梯，少走樓梯,裝設自動感應照明,空調設定於20~23度,共乘計程車,(B) 裝設自動感應照明,"【正解】：(B)
【解析】：
1. 正確選項 (B)：在校園走廊、洗手間、樓梯間等公共區域裝設「自動感應照明（紅外線感應燈）」，可落實「人來燈亮、人走燈熄」，避免無人時長時間長明耗電，是極佳的校園節能措施。
2. 其他選項說明：
- (A) 多搭電梯耗電，多走樓梯能健身且節能。
- (C) 空調設定在20~23度過低且極度耗電，官方建議夏季冷氣適當設定溫度為「26~28℃」並搭配電風扇。
- (D) 校園通學應優先選擇大眾運輸、步行或自行車。"
327,暑期練習7/20,下列哪一種植物屬於臺灣原生種？,銀合歡,小花蔓澤蘭,大花咸豐草,玉山杜鵑,(D) 玉山杜鵑,"【正解】：(D)
【解析】：
1. 正確選項 (D)：玉山杜鵑（學名：Rhododendron pseudochrysanthum）為臺灣特有種（原生種）高山常綠灌木或喬木，主要分佈於海拔 3,000 公尺以上高山（如合歡山、玉山、雪山等），能適應高山嚴寒與強風環境。
2. 其他選項說明：
- (A) 銀合歡：原產於中美洲，引進後已成為恆春半島嚴重的外來入侵樹種。
- (B) 小花蔓澤蘭：原產於中南美洲，為極具破壞性的外來入侵藤蔓植物。
- (C) 大花咸豐草：原產於熱帶美洲，引進作為蜜源植物後已遍布全臺平野，屬外來入侵種。"
328,暑期練習7/20,下列哪個選項最有可能是近年來全球暖化日益嚴重的主要原因？,被大氣吸收的太陽輻射增加，地表大氣中溫室氣體過低,被大氣反射到太空的太陽輻射增加,被地表反射到太空的太陽輻射增加,被大氣吸收的地表輻射增加,(D) 被大氣吸收的地表輻射增加,"【正解】：(D)
【解析】：
1. 正確選項 (D)：人類大量燃燒化石燃料排放二氧化碳、甲烷等溫室氣體，使大氣中溫室氣體濃度持續攀升。溫室氣體吸收地表向外釋放的長波紅外線輻射，造成「被大氣吸收的地表輻射增加」，並將熱量截留重新向下輻射回地表，導致溫室效應加劇與全球暖化。
2. 其他選項說明：
- (A) 地球大氣中溫室氣體濃度是顯著「升高」而非過低。
- (B)(C) 若反射到太空的太陽輻射增加（地球反照率提高），地表獲得的熱量減少，會造成氣候降溫而非暖化。"
329,暑期練習7/20,在衛星雲圖上，臺灣南部被一大片白色的東西所遮住，試問臺灣南部的天氣狀況如何？,陰天或下雨,晴朗炎熱,強風,濃霧,(A) 陰天或下雨,"【正解】：(A)
【解析】：
1. 正確選項 (A)：在氣象衛星雲圖（可見光或紅外線雲圖）上，大片亮白色區域代表地表上方覆蓋著深厚、發展旺盛的高空雲層（如鋒面雲系、熱帶低壓或積雨雲）。厚實雲層阻擋陽光直射並伴隨充沛水氣降水，因此臺灣南部此時的天氣狀況通常為陰天或下雨。
2. 其他選項說明：
- (B) 晴朗炎熱時，雲圖上該區域應為無雲的深色。
- (C)(D) 衛星雲圖上大尺度顯著白色主要反映厚實降水雲系，無法直接單純等同於強風或地表薄層濃霧。"
330,暑期練習7/20,根據《文化資產保存法》的界定，「澎湖石滬文化景觀－吉貝石滬群」是屬於哪一種類型景觀？,聚落建築群,文化景觀,自然地景,考古遺址,(B) 文化景觀,"【正解】：(B)
【解析】：
1. 正確選項 (B)：依據《文化資產保存法》第3條規定，「文化景觀」指人類與自然環境經長時間交互作用所形成具有歷史、美學、民族學或人類學價值之場域。吉貝石滬群是澎湖先民順應潮汐與玄武岩、珊瑚礁石材所堆砌的傳統捕魚陷阱，具體展現人與海洋環境共生的智慧，依法登錄為「文化景觀」。
2. 其他選項說明：
- (A) 聚落建築群：如澎湖望安花宅聚落。
- (C) 自然地景：指未受顯著人為改造之自然地貌（如野柳野外地質公園、泥火山）。
- (D) 考古遺址：如十三行遺址、卑南遺址等地下古代文化層堆積。"
331,暑期練習7/20,自然保留區的設置是依下列哪一項法規所推動？,文化資產保存法,國家公園法,野生動物保育法,環境保護基本法,(A) 文化資產保存法,"【正解】：(A)
【解析】：
1. 正確選項 (A)：臺灣的「自然保留區（Nature Reserve）」是依據《文化資產保存法》中關於「自然地景及自然紀念物」之規定所劃設公告（主管機關為農業部林業及自然保育署），是國內保護層級最嚴格、嚴禁改變現狀與任意進入的保護區類別。
2. 其他選項說明：
- (B) 《國家公園法》：劃設國家公園與國家自然公園。
- (C) 《野生動物保育法》：劃設「野生動物保護區」及「野生動物重要棲息環境」。
- (D) 《環境保護基本法》：為國家環境保護總體指導方針之母法，非具體劃設自然保留區之依據。"
332,暑期練習7/20,根據環境教育法第四條，下列選項中哪些是環境教育之對象?,全體國民,政府機關,學校,以上皆是,(D) 以上皆是,"【正解】：(D)
【解析】：
1. 正確選項 (D)：依據我國《環境教育法》第4條規定：「環境教育之對象包含全體國民、機關、公營事業機構、高級中等以下學校、大專校院及受政府獎勵或補助之民間團體。」因此國民、機關與學校全數涵蓋在內。
2. 其他選項說明：(A)、(B)、(C) 均為法定對象的一部分，故應選 (D)「以上皆是」。"
333,暑期練習7/20,太魯閣國家公園因海拔落差大，且受下列哪種因素影響，形成明顯垂直的溫差和氣候變化？,東北季風,雨水豐沛,地質構造特殊,冬季降雪,(A) 東北季風,"【正解】：(A)
【解析】：
1. 正確選項 (A)：太魯閣國家公園由太平洋海平面急遽拔升至合歡山、南湖大山等 3,000 公尺以上高山，地處臺灣東部迎風面。秋冬季節強勁的「東北季風」夾帶豐沛水氣長驅直入立霧溪峽谷，受到陡峭地形抬升與阻擋，使不同海拔高度與坡向之溫差、雨量產生劇烈變化，造就豐富的垂直氣候帶與植被分帶。
2. 其他選項說明：
- (B)(D) 豐沛雨水與冬季降雪皆為季風與地形抬升交互作用後的降水表現，非主導氣候動力來源。
- (C) 地質構造（大理石峽谷隆起與下切）是地形地貌成因，但宏觀氣候變化的動力來源為東北季風氣流。"
334,暑期練習7/20,為因應溫室效應對地球的危害，各國皆著手研擬各種不同類型之減緩策略，以下哪些「不是」臺灣的減緩策略？,發展火力發電技術,節約能源、提高能源效率,開發新興與再生能源,發展溫室氣體減量技術,(A) 發展火力發電技術,"【正解】：(A)
【解析】：
1. 正確選項 (A)：傳統「火力發電技術（特別是燃煤發電）」高度依賴燃燒化石燃料，是溫室氣體（二氧化碳）與空氣污染物的最主要排放源。臺灣在「2050淨零排放路徑」中的減緩策略是「逐步減煤、增氣、展綠、非核」，因此「發展火力發電技術」絕非減緩策略。
2. 其他選項說明：
- (B) 節約能源與提高能源使用效率是成本效益最高的減碳減緩策略。
- (C) 開發風能、太陽光電、地熱、海洋能等再生能源是實現能源轉型的核心。
- (D) 發展碳捕捉、利用與封存（CCUS）及工業製程減碳技術是關鍵減緩策略。"
335,暑期練習7/20,下列何者是酸雨帶來的危害？,全球暖化,輻射污染,礦產消失,土壤酸化,(D) 土壤酸化,"【正解】：(D)
【解析】：
1. 正確選項 (D)：酸雨（主要含有硫酸與硝酸）降落至地表後，會加速土壤中鈣、鎂、鉀等鹽基養分的淋溶流失，並活化溶出對植物有毒的鋁離子，導致「土壤酸化」，破壞植物根系與土壤微生物平衡，造成林木衰退枯死與農作物減產。
2. 其他選項說明：
- (A) 全球暖化是由溫室氣體截留長波輻射引起。
- (B) 輻射污染源自核事故、核試驗或放射性廢棄物。
- (C) 礦產耗竭是由於人類過度開採，非酸雨造成。"
336,暑期練習7/20,「海砂屋」是因為建築房屋時使用的海砂中含有什麼離子造成混凝土病變？,氯離子,鈉離子,鈣離子,鎂離子,(A) 氯離子,"【正解】：(A)
【解析】：
1. 正確選項 (A)：海砂若未經淡水充分洗鹽即用於拌合混凝土，其中含有的高濃度「氯離子（Cl-）」會破壞鋼筋表面的鹼性鈍化膜，加速鋼筋電化學鏽蝕。鋼筋生銹後體積膨脹數倍，導致混凝土龜裂、剝落、結構強度嚴重受損，俗稱「海砂屋（高氯離子混凝土建築物）」
2. 其他選項說明：(B) 鈉、(C) 鈣、(D) 鎂離子並非直接穿透破壞鋼筋鈍化膜引發鋼筋生銹膨脹的主因，國家標準（CNS 3090）檢測海砂屋的核心指標即為水溶性「氯離子含量」。"
337,暑期練習7/20,有關酸雨的敘述，下列敘述哪個選項是正確的？,大氣中的二氧化碳溶解於雨水中所致,酸雨對動物危害比較大，對植物沒有影響,大氣中硫氧化物溶解於雨水中會造成酸雨,主要為工廠排放的廢氣與汽車廢氣無關,(C) 大氣中硫氧化物溶解於雨水中會造成酸雨,"【正解】：(C)
【解析】：
1. 正確選項 (C)：酸雨主要是人類燃燒化石燃料排放的「硫氧化物（SOx，如SO2）」與「氮氧化物（NOx）」在大氣中與水氣反應轉化為硫酸與硝酸，隨雨雪降落所致（pH值 < 5.0）。
2. 其他選項說明：
- (A) 二氧化碳溶於水形成弱碳酸，使未受污染雨水呈現微酸性（pH約5.6），但酸雨（pH < 5.0）主要是硫氧化物與氮氧化物所致。
- (B) 酸雨會腐蝕植物葉片蠟質層並破壞土壤，對植物生長危害極大。
- (D) 汽機車高溫燃燒排放大量「氮氧化物（NOx）」，是造成酸雨的重要成因之一。"
338,暑期練習7/20,下列何者的蒸發作用是形成雨水最主要的來源？,海洋,河川,湖泊,冰山,(A) 海洋,"【正解】：(A)
【解析】：
1. 正確選項 (A)：地球表面約 71% 被海洋覆蓋，且海洋儲存了全球約 97% 的水資源。全球水循環中，約 85% 以上的大氣水氣皆來自於廣大「海洋」表面的蒸發作用，是地表形成雲雨降水最龐大、最主要的水氣源頭。
2. 其他選項說明：(B) 河川、(C) 湖泊、(D) 冰山的水域面積與總水量佔全球水資源比例極小，蒸發產生的水氣量遠不及海洋。"
339,暑期練習7/20,餐飲業者達成幾項「十大惜食行動」即可成為惜食推廣種子店家？,一項,三項,五項,十項,(B) 三項,"【正解】：(B)
【解析】：
1. 正確選項 (B)：環境部推廣惜食環境教育，鼓勵餐飲業者響應「惜食行動」（包括主動提醒份量、提供分量選擇、宣導打包、食材全利用、地產地消等十大行動）。店家只要在「十大惜食行動」中落實達成「三項」以上，即可申請認證為官方「惜食推廣種子店家（惜食餐廳）」
2. 其他選項說明：(A)、(C)、(D) 均不符合環境部現行惜食推廣種子店家之基本認證門檻規定（3項）。"
